11040	16
11103	239
11418	88
10314	187
11220	389
10018	398
10080	1
11358	151
10454	82
10037	28
10023	200
10305	91
10075	91
11106	165
11432	189
10026	86
10032	112
10451	155
10165	2
10171	1
11231	167
10006	47
10012	430
11369	110
11412	45
10055	2
10017	360
10003	684
10460	74
10038	208
10107	1
11417	77
10179	2
10459	77
10001	507
11239	15
11415	35
10105	6
10111	8
11691	51
10473	29
11228	58
10153	3
11694	40
10308	49
11430	145
10030	36
10024	194
10453	100
10167	4
11219	119
11005	2
11222	223
11221	147
10022	452
11436	23
10279	3
11102	93
11419	94
10033	125
11230	109
11373	260
10304	61
10310	64
10123	1
11433	31
10118	10
10040	82
10103	6
11204	136
11210	88
10028	196
10013	504
10007	149
10464	38
11368	255
10106	4
11692	12
11416	43
11379	42
10155	1
10461	160
10002	515
11356	59
11215	325
11201	444
10039	37
11414	53
10178	4
11354	481
11203	132
11217	278
10463	123
10014	416
10271	4
11411	21
10005	73
10011	452
10466	88
10472	103
11212	108
11206	178
11232	132
11365	56
10452	107
11209	265
10172	3
11105	148
10306	107
10121	101
10177	1
10034	106
10020	30
11004	32
11360	21
10158	2
11374	93
11223	176
11434	81
10048	2
11423	34
11363	13
11377	204
11234	149
10174	2
11426	31
10119	22
10009	297
11225	135
11372	341
11366	55
11211	381
10029	206
11205	160
10282	17
10465	80
10471	47
11242	1
10041	2
11109	6
11429	23
10154	4
11378	82
10474	28
11357	76
11214	205
11693	35
10044	9
10128	136
11355	220
10285	1
11216	191
10462	144
10069	2
10467	154
10010	251
10004	155
11207	143
11213	107
10280	30
10168	3
12345	2
11104	102
10307	37
10468	104
11233	80
11364	55
11370	18
11208	123
10173	1
11385	297
10302	66
11421	76
11435	113
11101	297
10176	1
10456	82
10021	153
10035	88
11375	205
11361	136
11236	123
11362	51
11235	165
10019	671
10036	643
10455	103
11422	37
10301	105
10065	178
11249	186
10027	168
10170	1
11224	90
11367	54
11427	18
11413	47
11697	4
11428	41
10470	41
10112	18
10475	61
10016	415
10458	188
10000	2
11238	245
10115	1
11241	1
10309	79
11229	133
10169	27
10281	14
11226	199
10469	90
11371	8
11001	2
10025	228
10031	116
10312	76
11218	147
10457	97
11237	250
10303	36
11420	85
