11040	16	4201
11103	239	70738
11418	88	76306
10314	187	140334
11220	389	146367
10018	398	31315
10080	1	1
11358	151	68759
10454	82	59690
10037	28	33856
10023	200	74612
10305	91	71137
10075	91	26634
11106	165	68069
11432	189	101384
10026	86	80037
10032	112	158500
10451	155	89340
10165	2	58
10171	1	17
11231	167	69885
10006	47	7722
10012	430	65050
11369	110	61937
11412	45	62849
10055	2	10
10017	360	34415
10003	684	108644
10460	74	129964
10038	208	31782
10107	1	72
11417	77	69663
10179	2	10
10459	77	101694
10001	507	65858
11239	15	8101
11415	35	36629
10105	6	75
10111	8	99
11691	51	91097
10473	29	76140
11228	58	69182
10153	3	69
11694	40	41394
10308	49	47419
11430	145	4273
10030	36	71696
10024	194	74776
10453	100	194022
10167	4	37
11219	119	113805
11005	2	345
11222	223	89096
11221	147	199909
10022	452	54769
11436	23	37406
10279	3	62
11102	93	58770
11419	94	103283
10033	125	127630
11230	109	155394
11373	260	121632
10304	61	84793
10310	64	53018
10123	1	60
11433	31	72754
10118	10	125
10040	82	133365
10103	6	137
11204	136	118234
11210	88	121394
10028	196	52632
10013	504	73678
10007	149	22558
10464	38	15923
11368	255	136274
10106	4	47
11692	12	27301
11416	43	53560
11379	42	68173
10155	1	33
10461	160	105070
10002	515	125093
11356	59	48737
11215	325	135509
11201	444	106295
10039	37	51446
11414	53	51867
10178	4	22
11354	481	76216
11203	132	159757
11217	278	94974
10463	123	127027
10014	416	70973
10271	4	80
11411	21	33057
10005	73	13463
10011	452	90115
10466	88	133764
10472	103	146490
11212	108	154639
11206	178	147318
11232	132	60669
11365	56	58531
10452	107	185361
11209	265	135462
10172	3	78
11105	148	63350
10306	107	102509
10121	101	254
10177	1	41
10034	106	122425
10020	30	1892
11004	32	18755
11360	21	19715
10158	2	76
11374	93	60876
11223	176	120068
11434	81	95508
10048	2	209
11423	34	53831
11363	13	17275
11377	204	128800
11234	149	156926
10174	2	29
11426	31	28673
10119	22	415
10009	297	100169
11225	135	162538
11372	341	87989
11366	55	51801
11211	381	146265
10029	206	112685
11205	160	89722
10282	17	2656
10465	80	74537
10471	47	32044
11242	1	59
10041	2	168
11109	6	1838
11429	23	39620
10154	4	39
11378	82	85538
10474	28	40143
11357	76	66408
11214	205	130048
11693	35	22490
10044	9	2120
10128	136	57240
11355	220	97089
11216	191	161939
10462	144	131176
10069	2	2275
10467	154	226750
10010	251	43527
10004	155	12508
11207	143	214695
11213	107	163314
10280	30	3248
10168	3	98
12345	2	35
11104	102	42388
10307	37	20880
10468	104	186155
11233	80	168918
11364	55	46894
11370	18	40684
11208	123	189061
10173	1	42
11385	297	208067
10302	66	41138
11421	76	81537
11435	113	89145
11101	297	104933
10176	1	18
10456	82	170050
10021	153	42860
10035	88	71270
11375	205	96550
11361	136	51757
11236	123	136701
11362	51	28971
11235	165	139369
10019	671	95270
10036	643	74810
10455	103	75207
11422	37	47323
10301	105	90004
10065	178	36998
11249	186	50575
10027	168	121031
10170	1	27
11224	90	48089
11367	54	58591
11427	18	33994
11413	47	68249
11697	4	3402
11428	41	33869
10470	41	38623
10112	18	235
10475	61	21806
10016	415	80740
10458	188	194063
10000	2	1367
11238	245	148299
10115	1	31
11241	1	56
10309	79	53511
11229	133	128599
10169	27	150
10281	14	633
11226	199	279548
10469	90	113736
11371	8	386
11001	2	6251
10025	228	123237
10031	116	178664
10312	76	99597
11218	147	128122
10457	97	180948
11237	250	134902
10303	36	49771
11420	85	99889
