11423	34	53831	5279
11377	204	128800	6164
11234	149	156926	14669
11426	31	28673	2465
10009	297	100169	9098
11225	135	162538	36713
11372	341	87989	30033
11366	55	51801	787
11211	381	146265	14835
10029	206	112685	75856
11205	160	89722	26138
10465	80	74537	14784
10471	47	32044	8843
11109	6	1838	17711
11429	23	39620	2590
11378	82	85538	6137
10474	28	40143	27115
11357	76	66408	1068
11214	205	130048	12941
11693	35	22490	3361
10044	9	2120	10489
11355	220	97089	9893
11216	191	161939	66781
10462	144	131176	14861
10467	154	226750	32716
10010	251	43527	26939
11207	143	214695	80547
11213	107	163314	62448
11104	102	42388	8884
10307	37	20880	4776
10468	104	186155	24669
11233	80	168918	40640
11364	55	46894	3588
11370	18	40684	4191
11208	123	189061	60770
11385	297	208067	21800
10302	66	41138	15922
11421	76	81537	11483
11435	113	89145	40080
11101	297	104933	5485
10456	82	170050	43332
10021	153	42860	21464
10035	88	71270	60311
11375	205	96550	4373
11361	136	51757	12209
11236	123	136701	25131
11235	165	139369	10661
10019	671	95270	27987
10036	643	74810	836
10455	103	75207	35722
11422	37	47323	2678
10301	105	90004	41055
10027	168	121031	42776
11224	90	48089	45314
11367	54	58591	7208
11427	18	33994	5755
11413	47	68249	7438
11428	41	33869	12373
10470	41	38623	13029
10475	61	21806	6824
10016	415	80740	19422
10458	188	194063	78010
11238	245	148299	10848
10309	79	53511	3932
11229	133	128599	8944
11226	199	279548	17115
10469	90	113736	9281
10025	228	123237	29720
10031	116	178664	32560
10312	76	99597	4213
11218	147	128122	7143
10457	97	180948	58042
11237	250	134902	33069
10303	36	49771	11274
11420	85	99889	4637
11103	239	70738	19116
11418	88	76306	3387
10314	187	140334	1051
11220	389	146367	19313
10018	398	31315	40843
11358	151	68759	2837
10454	82	59690	36042
10037	28	33856	19944
10305	91	71137	7117
11106	165	68069	10924
11432	189	101384	19827
10026	86	80037	75261
10032	112	158500	57219
10451	155	89340	75098
11231	167	69885	14666
10012	430	65050	27136
11369	110	61937	20324
11412	45	62849	13282
10017	360	34415	13005
10003	684	108644	77895
10460	74	129964	38287
11417	77	69663	6694
10459	77	101694	39958
10001	507	65858	138021
11239	15	8101	1465
11415	35	36629	21900
11691	51	91097	17161
10473	29	76140	19206
11228	58	69182	1508
11694	40	41394	789
10308	49	47419	5993
10030	36	71696	57898
10024	194	74776	9037
10453	100	194022	87256
11219	119	113805	6158
11005	2	345	1663
11222	223	89096	6027
11221	147	199909	59006
10022	452	54769	1561
11436	23	37406	9021
11102	93	58770	22650
11419	94	103283	10771
10033	125	127630	25403
11230	109	155394	3614
11373	260	121632	24825
10304	61	84793	9088
10310	64	53018	5154
11433	31	72754	26426
10040	82	133365	5983
11204	136	118234	19521
11210	88	121394	15233
10028	196	52632	16586
10007	149	22558	50262
11368	255	136274	54284
11692	12	27301	18328
11416	43	53560	21897
11379	42	68173	2525
10461	160	105070	12512
10002	515	125093	65916
11356	59	48737	925
11215	325	135509	12745
11201	444	106295	61841
10039	37	51446	21196
11414	53	51867	1043
11354	481	76216	35857
11203	132	159757	27536
11217	278	94974	40225
10463	123	127027	22184
10014	416	70973	1693
11411	21	33057	3855
10005	73	13463	22107
10011	452	90115	24933
10466	88	133764	38090
10472	103	146490	1438
11212	108	154639	68746
11206	178	147318	60664
11232	132	60669	17545
11365	56	58531	1995
10452	107	185361	66397
11209	265	135462	13513
11105	148	63350	5233
10306	107	102509	18219
10034	106	122425	40257
10020	30	1892	7456
11004	32	18755	674
11374	93	60876	14339
11223	176	120068	26520
11434	81	95508	30131
