11692	0	2	0	0	0	3193	19	197	58	14	652	341	417	106	46
11416	4	8	0	0	0	6369	30	241	72	13	859	411	509	125	85
11379	7	6	0	2	2	3126	35	212	36	20	99	25	65	16	3
10461	33	18	5	8	3	9942	91	527	248	35	472	219	299	74	39
10002	102	76	12	14	30	18326	794	315	250	80	2486	1245	1648	374	186
11356	7	11	4	1	1	4002	19	206	27	15	48	16	23	9	1
10039	4	4	1	0	0	14679	73	143	280	23	754	375	539	96	56
11201	115	18	17	16	21	10598	567	238	74	15	2345	1056	1456	287	213
11215	80	17	18	16	12	7027	635	367	181	32	476	176	340	82	41
10040	11	4	6	0	0	23698	83	174	289	45	207	67	161	27	12
10028	44	6	9	20	11	4796	672	205	115	16	562	279	384	81	56
11210	7	12	2	0	0	11651	187	145	258	29	568	256	384	97	41
11204	5	36	4	5	6	6957	74	266	226	43	665	345	473	132	60
10007	40	1	3	4	6	931	628	35	3	2	1927	946	1168	310	141
11368	22	17	26	2	0	18372	121	536	281	47	1995	871	1361	287	152
10033	11	11	5	1	2	21105	230	249	404	76	838	376	615	128	58
11230	10	6	3	1	1	13307	133	293	444	46	151	56	104	18	8
11373	23	43	7	2	9	14708	423	359	273	97	820	424	663	125	97
10310	16	5	4	2	2	5953	55	276	65	15	192	95	140	33	25
10304	16	5	1	2	1	9200	51	439	176	29	320	154	213	44	29
11433	4	3	0	0	0	7171	80	409	128	39	952	463	606	123	69
11221	27	18	7	4	0	27931	157	1108	680	65	2065	943	1461	257	157
10022	148	14	10	31	26	2870	2025	192	104	4	34	23	25	22	6
11436	8	4	0	0	0	4873	10	198	26	17	305	132	236	25	27
11102	18	5	6	4	0	6858	111	267	96	14	811	403	543	139	60
11419	9	15	0	4	0	15152	38	233	268	45	349	214	250	67	65
10020	20	0	0	0	0	3	101	8	0	0	257	104	175	49	31
10034	13	4	9	0	1	20360	154	180	371	45	1567	694	995	228	118
11004	3	3	0	0	0	635	16	39	35	2	18	12	28	1	1
11374	10	9	2	1	4	5983	65	228	71	32	560	289	330	91	38
11223	23	22	13	3	3	8331	82	385	203	32	1030	421	622	132	74
11434	14	14	0	0	0	8168	51	443	119	33	1125	661	685	190	144
11232	19	16	12	0	1	5401	143	168	92	16	641	295	394	127	60
11365	12	4	0	0	4	5153	12	186	32	17	67	37	58	11	9
10452	10	15	6	0	0	29708	84	460	722	92	2464	1210	1758	388	233
11209	56	20	10	12	12	9865	291	457	260	44	552	213	327	101	40
11105	31	7	1	7	6	4535	180	244	96	21	134	71	143	15	7
10306	19	9	4	7	3	4830	42	389	50	27	609	310	442	85	63
11411	1	5	0	0	0	1593	11	60	14	13	141	100	83	28	14
10011	129	12	9	33	26	7322	2937	301	144	41	835	418	596	105	89
10005	28	2	2	1	1	594	285	36	17	2	777	363	506	119	71
10472	8	14	7	0	0	19812	67	500	507	481	40	21	48	3	4
10466	7	13	0	0	0	19755	47	466	397	48	1430	772	889	268	115
11206	45	12	13	1	4	25073	396	559	465	74	2304	936	1533	297	178
11212	3	22	0	0	1	22365	167	516	571	86	2588	1097	1611	394	227
11414	9	5	1	5	4	2692	29	244	61	9	44	15	25	2	5
11354	17	170	2	1	17	6090	130	252	103	33	1427	688	819	196	111
11217	82	10	7	8	12	8226	394	170	108	48	1291	664	955	213	109
11203	10	15	0	0	0	15895	194	308	466	43	900	486	664	133	79
10463	26	12	8	3	3	20293	113	328	322	61	781	339	555	104	113
10014	124	7	14	32	19	5978	957	172	94	12	67	16	39	9	3
10003	145	34	25	30	57	10446	4355	549	190	49	2720	1282	1903	392	231
10017	95	8	12	14	27	1044	2185	197	23	7	452	210	299	75	42
10460	14	10	1	0	0	20840	93	555	535	70	1416	701	901	176	90
11417	16	13	3	1	0	5925	53	232	70	17	201	128	156	34	16
10012	116	8	11	41	27	4962	1611	148	104	28	940	486	681	113	70
11369	40	5	4	1	1	7974	45	260	73	17	747	295	518	116	55
